Part_ID,Date,Shift,Machine,Operator,Supplier,True_Diameter_mm,Diameter_mm,True_Length_mm,Length_mm,Temperature_C,Cycle_Time_sec,Defect_Type,Inspection_Result
P00001,2026-02-18,C,M1,O2,Supplier A,19.97901967541483,19.979343834047395,49.93056206042669,49.92816919092344,23.166240045040002,43.37052641762504,None,Pass
P00002,2026-02-26,C,M4,O1,Supplier B,20.025341680093806,20.005780092964837,49.912721902859325,49.90982847631192,19.200474459602425,45.698370429344195,Taper,Fail
P00003,2026-02-08,A,M3,O1,Supplier C,20.248083487542615,20.249524413930303,49.7467874754339,49.73625344419167,25.864204770751353,45.80500290908975,None,Pass
P00004,2026-01-29,A,M2,O1,Supplier B,19.973769028954607,19.9600877566826,50.05633611988339,50.04569875800623,19.175736586982914,41.786459148288166,None,Pass
P00005,2026-01-05,A,M2,O1,Supplier A,19.992077988231365,19.98742699600072,50.06235144469452,50.06514309423209,23.012071797840242,43.079518281828136,None,Pass
P00006,2026-02-10,A,M4,O1,Supplier C,20.0035953336286,20.003083049800335,49.85051928895686,49.84276929943654,24.98790362969242,44.48898331650753,None,Pass
P00007,2026-02-28,B,M1,O3,Supplier A,20.02392754843738,20.00727637506128,50.05886482025627,50.066832383586814,18.948314536124332,41.69860036414477,None,Pass
P00008,2026-01-13,C,M3,O1,Supplier A,20.239658706538506,20.22697344643309,49.83876083387828,49.83890265718023,23.340479596702558,46.08642129498383,None,Pass
P00009,2026-01-19,A,M1,O2,Supplier B,19.994154988368926,20.00913049713306,49.810030779995245,49.815749144038115,22.144321542826887,39.42615107117083,None,Pass
P00010,2026-02-05,A,M1,O3,Supplier A,20.02915492977064,20.03813040289747,50.15548989813581,50.155684004433276,25.856843336332854,41.686988015740134,None,Pass
P00011,2026-02-06,C,M3,O1,Supplier B,20.25582768536822,20.25125033954637,49.78356384632271,49.775350174730036,22.486771581656097,43.82923931887088,None,Pass
P00012,2026-01-30,B,M4,O2,Supplier B,19.97690246291647,19.97454743356181,49.777576353162814,49.77890215145026,19.302969635192373,42.7254072086327,None,Pass
P00013,2026-01-13,A,M3,O1,Supplier C,20.22467311569402,20.24207458505588,49.89813335651796,49.8966516164278,24.281884101536885,43.85935347310974,None,Pass
P00014,2026-02-03,A,M4,O1,Supplier A,20.017041814712236,20.016018353614015,50.060674154189286,50.06253519155384,20.57824288051783,42.289252899793915,None,Pass
P00015,2026-02-04,C,M3,O2,Supplier A,20.205360494075048,20.218526835798045,49.94733797675685,49.95880156396273,21.938455960573833,42.62430708716581,None,Pass
P00016,2026-01-16,A,M4,O2,Supplier C,19.99553637985395,19.99668927837321,50.1225528811446,50.14028075010576,22.88272088274139,47.086609187915215,None,Pass
P00017,2026-02-10,B,M3,O3,Supplier C,20.216308006239068,20.2090500779389,50.144439665725095,50.14632104682399,24.22991418374161,45.15032643288888,Burr,Fail
P00018,2026-02-25,C,M1,O2,Supplier B,19.991564567591563,20.006224218294278,49.989707717872776,50.00948465860242,19.72688657092082,38.65235589350659,None,Pass
P00019,2026-01-10,A,M4,O1,Supplier C,20.09717112687299,20.091913815026082,49.937916110534374,49.9344989456217,22.862716502025116,45.253684246091474,None,Pass
P00020,2026-01-09,C,M2,O1,Supplier C,19.98508081821099,19.983216414761063,50.10422462025187,50.10285884676623,24.416702949625016,43.03055895158506,None,Pass
P00021,2026-02-08,A,M3,O2,Supplier B,20.20295009970641,20.207821266828283,50.13018358355057,50.15664352853732,23.626723287017214,44.86993268984614,None,Pass
