Analysis,Metric,Python,Minitab,Difference,Status
GRR,repeatability_var,8.151092493831687e-05,,,NOT RUN - SIGN IN REQUIRED
GRR,operator_var,1.3698632744817293e-05,,,NOT RUN - SIGN IN REQUIRED
GRR,interaction_var,0.0,,,NOT RUN - SIGN IN REQUIRED
GRR,part_var,0.011317424554901832,,,NOT RUN - SIGN IN REQUIRED
GRR,grr_var,9.520955768313416e-05,,,NOT RUN - SIGN IN REQUIRED
GRR,grr_sd,0.009757538505336998,,,NOT RUN - SIGN IN REQUIRED
GRR,percent_study_variation,9.133712278184088,,,NOT RUN - SIGN IN REQUIRED
GRR,percent_tolerance,9.757538505336997,,,NOT RUN - SIGN IN REQUIRED
GRR,ndc,15.0,,,NOT RUN - SIGN IN REQUIRED
ANOVA,F,55871.82089725134,,,NOT RUN - SIGN IN REQUIRED
ANOVA,p,0.0,,,NOT RUN - SIGN IN REQUIRED
ANOVA,DF_between,3.0,,,NOT RUN - SIGN IN REQUIRED
ANOVA,DF_within,19996.0,,,NOT RUN - SIGN IN REQUIRED
reference,mean,19.999044996679437,,,NOT RUN - SIGN IN REQUIRED
reference,within_sd,0.04712155855739895,,,NOT RUN - SIGN IN REQUIRED
reference,overall_sd,0.04700851613092156,,,NOT RUN - SIGN IN REQUIRED
reference,Cp,2.122170892929822,,,NOT RUN - SIGN IN REQUIRED
reference,Cpk,2.1154152920979903,,,NOT RUN - SIGN IN REQUIRED
reference,Pp,2.127274124575517,,,NOT RUN - SIGN IN REQUIRED
reference,Ppk,2.1205022783997944,,,NOT RUN - SIGN IN REQUIRED
rebaseline,mean,19.99908923162207,,,NOT RUN - SIGN IN REQUIRED
rebaseline,within_sd,0.045838205914180134,,,NOT RUN - SIGN IN REQUIRED
rebaseline,overall_sd,0.04491498085297871,,,NOT RUN - SIGN IN REQUIRED
rebaseline,Cp,2.1815862555184573,,,NOT RUN - SIGN IN REQUIRED
rebaseline,Cpk,2.1749631896009385,,,NOT RUN - SIGN IN REQUIRED
rebaseline,Pp,2.226428645875029,,,NOT RUN - SIGN IN REQUIRED
rebaseline,Ppk,2.2196694431870845,,,NOT RUN - SIGN IN REQUIRED
verification,mean,20.0001559805311,,,NOT RUN - SIGN IN REQUIRED
verification,within_sd,0.04624160618261474,,,NOT RUN - SIGN IN REQUIRED
verification,overall_sd,0.0437184324431405,,,NOT RUN - SIGN IN REQUIRED
verification,Cp,2.1625546397563675,,,NOT RUN - SIGN IN REQUIRED
verification,Cpk,2.161430251685553,,,NOT RUN - SIGN IN REQUIRED
verification,Pp,2.287364720362713,,,NOT RUN - SIGN IN REQUIRED
verification,Ppk,2.2861754391497,,,NOT RUN - SIGN IN REQUIRED
reference_limits,center,19.999044996679437,,,NOT RUN - SIGN IN REQUIRED
reference_limits,rbar,0.10960474520450995,,,NOT RUN - SIGN IN REQUIRED
reference_limits,x_lcl,19.93582479179539,,,NOT RUN - SIGN IN REQUIRED
reference_limits,x_ucl,20.062265201563484,,,NOT RUN - SIGN IN REQUIRED
reference_limits,r_lcl,0.0,,,NOT RUN - SIGN IN REQUIRED
reference_limits,r_ucl,0.23170443136233404,,,NOT RUN - SIGN IN REQUIRED
reference_limits,sigma_within,0.04712155855739895,,,NOT RUN - SIGN IN REQUIRED
new_limits,center,19.999089231622072,,,NOT RUN - SIGN IN REQUIRED
new_limits,rbar,0.10661966695638299,,,NOT RUN - SIGN IN REQUIRED
new_limits,x_lcl,19.937590824987627,,,NOT RUN - SIGN IN REQUIRED
new_limits,x_ucl,20.060587638256518,,,NOT RUN - SIGN IN REQUIRED
new_limits,r_lcl,0.0,,,NOT RUN - SIGN IN REQUIRED
new_limits,r_ucl,0.22539397594579363,,,NOT RUN - SIGN IN REQUIRED
new_limits,sigma_within,0.045838205914180134,,,NOT RUN - SIGN IN REQUIRED
