Machine,Diameter_mm
M1,19.979343834047395
M4,20.005780092964837
M3,20.249524413930303
M2,19.9600877566826
M2,19.98742699600072
M4,20.003083049800335
M1,20.00727637506128
M3,20.22697344643309
M1,20.00913049713306
M1,20.03813040289747
M3,20.25125033954637
M4,19.97454743356181
M3,20.24207458505588
M4,20.016018353614015
M3,20.218526835798045
M4,19.99668927837321
M3,20.2090500779389
M1,20.00622421829428
M4,20.09191381502608
M2,19.983216414761063
M3,20.207821266828283
M2,20.03906334356003
M1,20.006856488584052
M4,19.993489434166538
M4,20.00897289382969
M3,20.188784165893903
M2,20.000288016085076
M4,19.996289864605178
M3,20.20277804423231
M2,20.022901619593416
M2,20.06113985416641
M1,19.96130267705935
M1,19.981000983386313
M3,20.24617319883612
M4,20.032168652411254
M1,19.962417636675205
M4,20.00989978881568
M4,19.98550990659841
M2,19.894280142790553
M3,20.18911045277636
M1,19.94565731112148
M4,19.920795937291626
M3,20.206495337898808
M2,19.98378341760693
M1,20.006500362177285
M4,19.99239446547806
M2,20.02122214387439
M4,19.96450722714972
M3,20.23892436729006
M4,20.01384629404963
M4,19.97841519468533
M1,19.989072028538867
M2,19.9781908967212
M2,19.983817856706025
M2,20.022515090160653
M1,19.976683496206828
M3,20.27320212347338
M1,19.973777020318476
M3,20.216157483269445
M3,20.20905346394076
M4,20.036756257196792
M3,20.20849472008226
M2,20.06353356963026
M4,20.009541042602795
M2,20.043933882355265
M2,19.94641140720399
M4,19.920344833296586
M2,20.050262002936137
M1,20.08358641249123
M2,19.999618305312257
M4,20.043949391795525
M1,19.98042995332548
M2,19.98948979813124
M1,20.025884992061208
M3,20.20456509591557
M2,20.004827171728035
M2,20.059499342112066
M1,20.00442814109817
M3,20.204679278518327
M3,20.190440307248338
M4,20.00532749474165
M2,20.006484262109673
M1,19.98071426321869
M4,19.9799792337949
M3,20.24130589687823
M3,20.195532866122576
M1,20.00683853324884
M2,19.99776748411074
M4,20.006577892946584
M4,20.045878204616276
M2,19.978552725061885
M4,19.993725481999796
M4,20.001765424744317
M2,19.963483944139245
