Subgroup,Diameter_mm
1,19.954413907334075
1,19.986832534167167
1,20.002816842026785
1,19.96319384644432
1,20.086380280601514
2,19.851297909347885
2,19.910121055113148
2,20.00960228188672
2,20.006344787515033
2,19.944481728523442
3,20.021424200742583
3,19.932868482038206
3,20.006374302656315
3,19.97780499014221
3,20.046562924745796
4,20.022377368826287
4,19.982798175186154
4,20.026304877103534
4,19.972613953377426
4,20.144538046352764
5,20.02886961455169
5,19.95385397990219
5,19.89726556027757
5,19.996331440959725
5,19.906402092338304
6,19.92878976309889
6,19.983372391295276
6,19.931680134537142
6,19.95451224821356
6,19.913168323161624
7,19.985330931929386
7,19.949180543392124
7,20.05616730418569
7,20.01504484773881
7,19.95806292628262
8,19.987744921833542
8,19.880155670975267
8,19.98630424796613
8,20.043730217747633
8,19.969923094137304
9,19.97227528476682
9,20.043206509170993
9,20.031998081522552
9,20.009277070172534
9,20.027498289427978
10,19.995924089009517
10,20.013951023137167
10,19.959195458087237
10,20.085254893515007
10,19.98034975804901
11,19.98543792033872
11,19.998253755120334
11,19.978510390297316
11,20.067997061235765
11,19.97598104999615
12,19.979442745782418
12,20.015938050969257
12,19.99361404909371
12,20.051574942095886
12,20.02031943061803
13,20.033388649311807
13,20.019138519206624
13,20.056030109591145
13,19.957047708030956
13,20.06148767267905
14,19.990892083185578
14,19.905766572176624
14,19.966337685534686
14,19.957097877762852
14,20.091228081718118
15,19.943450641160876
15,20.008158219222768
15,20.046759453109896
15,20.0620101742056
15,19.949075452620622
16,19.98225007957666
16,20.02286138153817
16,19.931760336517748
16,20.071560427469276
16,20.048230284919534
17,19.96503759052801
17,20.00227561566051
17,19.948972133219023
17,20.038523608262572
17,20.004566428839794
18,19.996100414894503
18,20.023201217950835
18,20.0225821150048
18,19.917662072507643
18,20.104806746205817
19,19.99870843216067
19,20.029181427317162
19,19.935842857350522
19,19.95842809960857
19,19.97747714256997
20,20.056019959640345
20,20.025678366037987
20,19.988633257232205
20,19.99519231270267
20,20.04846325971093
21,20.02887661280321
21,19.953059199323437
21,19.97934188389665
21,20.007505979275752
21,20.029176604704972
22,20.032634765946018
22,19.928975947654028
22,20.037638833005396
22,19.90247033076562
22,19.943320660179783
23,20.002746902205537
23,20.008808464071652
23,19.931045015256938
23,19.936919985144478
23,20.0229623533748
24,20.084941636191445
24,19.978026420317086
24,20.064418985427874
24,19.956710575521672
24,20.018540789815187
25,20.028409664746103
25,19.979251626637776
25,19.972720450979914
25,20.031377247867454
25,20.023243049745865
26,19.978722926104762
26,20.035771686268102
26,19.97461173630564
26,19.96361152500607
26,19.984934692132157
27,19.95644913563949
27,19.979536100655174
27,19.956503921018825
27,20.05965386654571
27,20.03909025826661
28,20.014341063643393
28,20.058521227800156
28,19.96467269203593
28,20.120019723857
28,20.020415844579393
29,20.02152918520817
29,20.00763190865611
29,20.08094711420607
29,19.989297712777244
29,19.988411688771464
30,20.040356828181906
30,19.955494019761968
30,19.986974201583443
30,19.975462865556835
30,19.96743608102875
31,20.025323094381918
31,19.966008046633515
31,19.99874286553837
31,19.945439416419546
31,20.036447288292624
32,19.968566185317986
32,20.063069521145575
32,20.059365163070666
32,19.960106907679187
32,20.01416511365267
33,19.984850129951237
33,19.997606287817852
33,20.04348812905299
33,20.025395881464874
33,19.99769044765311
34,19.964310132755607
34,20.00840687044473
34,19.971967220891635
34,19.927466992161683
34,19.984287299213275
35,19.985963693882876
35,20.027500315598374
35,20.01316945538718
35,19.98939883120666
35,20.057050553085578
36,20.058573282466604
36,19.993618302505894
36,20.054706465861848
36,19.955424961846187
36,20.005977928968424
37,20.030916446206355
37,20.067067999537
37,19.913058314258013
37,20.0340513868226
37,19.971016786870717
38,20.038643522710757
38,20.03644536834767
38,20.007453501443592
38,20.035978140894272
38,19.937482872159876
39,20.051175948700717
39,20.028965985615294
39,19.93687104711832
39,20.00132326557876
39,20.048790836880958
40,20.001935152629162
40,20.050331225091778
40,20.049252545331587
40,20.041021590725396
40,19.936681556161652
