Part_ID,Subgroup,Within_Subgroup_Order,Run_Order,Timestamp,Phase,True_Diameter_mm,Diameter_mm,Setup_Code,Diameter_Fail
SPC-001-1,1,1,1,2026-09-07T08:00:00,reference,19.9585015132221,19.954413907334075,VERIFIED_ZERO,False
SPC-001-2,1,2,2,2026-09-07T08:01:00,reference,19.988476019623754,19.986832534167167,VERIFIED_ZERO,False
SPC-001-3,1,3,3,2026-09-07T08:02:00,reference,20.008232003820684,20.002816842026785,VERIFIED_ZERO,False
SPC-001-4,1,4,4,2026-09-07T08:03:00,reference,19.97270704254128,19.96319384644432,VERIFIED_ZERO,False
SPC-001-5,1,5,5,2026-09-07T08:04:00,reference,20.087216799614982,20.086380280601514,VERIFIED_ZERO,False
SPC-002-1,2,1,6,2026-09-07T08:15:00,reference,19.861670330735937,19.851297909347885,VERIFIED_ZERO,False
SPC-002-2,2,2,7,2026-09-07T08:16:00,reference,19.916950207913082,19.910121055113148,VERIFIED_ZERO,False
SPC-002-3,2,3,8,2026-09-07T08:17:00,reference,20.01716977912201,20.00960228188672,VERIFIED_ZERO,False
SPC-002-4,2,4,9,2026-09-07T08:18:00,reference,20.00714804881049,20.006344787515033,VERIFIED_ZERO,False
SPC-002-5,2,5,10,2026-09-07T08:19:00,reference,19.9457829487803,19.944481728523442,VERIFIED_ZERO,False
SPC-003-1,3,1,11,2026-09-07T08:30:00,reference,20.02120685320653,20.021424200742583,VERIFIED_ZERO,False
SPC-003-2,3,2,12,2026-09-07T08:31:00,reference,19.939095804902653,19.932868482038206,VERIFIED_ZERO,False
SPC-003-3,3,3,13,2026-09-07T08:32:00,reference,20.015706430673728,20.006374302656315,VERIFIED_ZERO,False
SPC-003-4,3,4,14,2026-09-07T08:33:00,reference,19.977463802336263,19.97780499014221,VERIFIED_ZERO,False
SPC-003-5,3,5,15,2026-09-07T08:34:00,reference,20.055536519070813,20.046562924745796,VERIFIED_ZERO,False
SPC-004-1,4,1,16,2026-09-07T08:45:00,reference,20.020673974284485,20.022377368826287,VERIFIED_ZERO,False
SPC-004-2,4,2,17,2026-09-07T08:46:00,reference,19.980351422226466,19.982798175186154,VERIFIED_ZERO,False
SPC-004-3,4,3,18,2026-09-07T08:47:00,reference,20.026217237878246,20.026304877103534,VERIFIED_ZERO,False
SPC-004-4,4,4,19,2026-09-07T08:48:00,reference,19.969357368259185,19.972613953377426,VERIFIED_ZERO,False
SPC-004-5,4,5,20,2026-09-07T08:49:00,reference,20.143242263824767,20.144538046352764,VERIFIED_ZERO,False
SPC-005-1,5,1,21,2026-09-07T09:00:00,reference,20.03146863311627,20.02886961455169,VERIFIED_ZERO,False
SPC-005-2,5,2,22,2026-09-07T09:01:00,reference,19.957729623762756,19.95385397990219,VERIFIED_ZERO,False
SPC-005-3,5,3,23,2026-09-07T09:02:00,reference,19.899139577965386,19.89726556027757,VERIFIED_ZERO,False
SPC-005-4,5,4,24,2026-09-07T09:03:00,reference,20.00533692697115,19.996331440959725,VERIFIED_ZERO,False
SPC-005-5,5,5,25,2026-09-07T09:04:00,reference,19.90514962635525,19.906402092338304,VERIFIED_ZERO,False
SPC-006-1,6,1,26,2026-09-07T09:15:00,reference,19.933472410283915,19.92878976309889,VERIFIED_ZERO,False
SPC-006-2,6,2,27,2026-09-07T09:16:00,reference,19.979284674007282,19.983372391295276,VERIFIED_ZERO,False
SPC-006-3,6,3,28,2026-09-07T09:17:00,reference,19.928055289041183,19.931680134537142,VERIFIED_ZERO,False
SPC-006-4,6,4,29,2026-09-07T09:18:00,reference,19.945640851823804,19.95451224821356,VERIFIED_ZERO,False
SPC-006-5,6,5,30,2026-09-07T09:19:00,reference,19.90544545047041,19.913168323161624,VERIFIED_ZERO,False
SPC-007-1,7,1,31,2026-09-07T09:30:00,reference,19.986134483991112,19.985330931929386,VERIFIED_ZERO,False
SPC-007-2,7,2,32,2026-09-07T09:31:00,reference,19.96292431870369,19.949180543392124,VERIFIED_ZERO,False
SPC-007-3,7,3,33,2026-09-07T09:32:00,reference,20.05428703697276,20.05616730418569,VERIFIED_ZERO,False
SPC-007-4,7,4,34,2026-09-07T09:33:00,reference,20.027358549450188,20.01504484773881,VERIFIED_ZERO,False
SPC-007-5,7,5,35,2026-09-07T09:34:00,reference,19.968944435734944,19.95806292628262,VERIFIED_ZERO,False
SPC-008-1,8,1,36,2026-09-07T09:45:00,reference,19.982286601937258,19.987744921833542,VERIFIED_ZERO,False
SPC-008-2,8,2,37,2026-09-07T09:46:00,reference,19.886066856621348,19.880155670975267,VERIFIED_ZERO,False
SPC-008-3,8,3,38,2026-09-07T09:47:00,reference,19.985638500492563,19.98630424796613,VERIFIED_ZERO,False
SPC-008-4,8,4,39,2026-09-07T09:48:00,reference,20.042258982543974,20.043730217747633,VERIFIED_ZERO,False
SPC-008-5,8,5,40,2026-09-07T09:49:00,reference,19.97491491156865,19.969923094137304,VERIFIED_ZERO,False
SPC-009-1,9,1,41,2026-09-07T10:00:00,reference,19.979817004468,19.97227528476682,VERIFIED_ZERO,False
SPC-009-2,9,2,42,2026-09-07T10:01:00,reference,20.045225372786383,20.043206509170993,VERIFIED_ZERO,False
SPC-009-3,9,3,43,2026-09-07T10:02:00,reference,20.033750749049336,20.031998081522552,VERIFIED_ZERO,False
SPC-009-4,9,4,44,2026-09-07T10:03:00,reference,20.005291138767642,20.009277070172534,VERIFIED_ZERO,False
SPC-009-5,9,5,45,2026-09-07T10:04:00,reference,20.02271326354222,20.027498289427978,VERIFIED_ZERO,False
SPC-010-1,10,1,46,2026-09-07T10:15:00,reference,19.994549863425252,19.995924089009517,VERIFIED_ZERO,False
SPC-010-2,10,2,47,2026-09-07T10:16:00,reference,20.02155799115351,20.013951023137167,VERIFIED_ZERO,False
SPC-010-3,10,3,48,2026-09-07T10:17:00,reference,19.9539717431226,19.959195458087237,VERIFIED_ZERO,False
SPC-010-4,10,4,49,2026-09-07T10:18:00,reference,20.089575210715527,20.085254893515007,VERIFIED_ZERO,False
SPC-010-5,10,5,50,2026-09-07T10:19:00,reference,19.975636007210024,19.98034975804901,VERIFIED_ZERO,False
SPC-011-1,11,1,51,2026-09-07T10:30:00,reference,19.98642892801445,19.98543792033872,VERIFIED_ZERO,False
SPC-011-2,11,2,52,2026-09-07T10:31:00,reference,19.991062958531966,19.998253755120334,VERIFIED_ZERO,False
SPC-011-3,11,3,53,2026-09-07T10:32:00,reference,19.976457636603843,19.978510390297316,VERIFIED_ZERO,False
SPC-011-4,11,4,54,2026-09-07T10:33:00,reference,20.0694263931071,20.067997061235765,VERIFIED_ZERO,False
SPC-011-5,11,5,55,2026-09-07T10:34:00,reference,19.96966012857517,19.97598104999615,VERIFIED_ZERO,False
SPC-012-1,12,1,56,2026-09-07T10:45:00,reference,19.973805816902164,19.979442745782418,VERIFIED_ZERO,False
SPC-012-2,12,2,57,2026-09-07T10:46:00,reference,20.01467410181987,20.015938050969257,VERIFIED_ZERO,False
SPC-012-3,12,3,58,2026-09-07T10:47:00,reference,20.001796845729622,19.99361404909371,VERIFIED_ZERO,False
SPC-012-4,12,4,59,2026-09-07T10:48:00,reference,20.05973255881896,20.051574942095886,VERIFIED_ZERO,False
SPC-012-5,12,5,60,2026-09-07T10:49:00,reference,20.015384692890194,20.02031943061803,VERIFIED_ZERO,False
SPC-013-1,13,1,61,2026-09-07T11:00:00,reference,20.040672419208672,20.033388649311807,VERIFIED_ZERO,False
SPC-013-2,13,2,62,2026-09-07T11:01:00,reference,20.019256093409318,20.019138519206624,VERIFIED_ZERO,False
SPC-013-3,13,3,63,2026-09-07T11:02:00,reference,20.06020690932117,20.056030109591145,VERIFIED_ZERO,False
SPC-013-4,13,4,64,2026-09-07T11:03:00,reference,19.957051783673943,19.957047708030956,VERIFIED_ZERO,False
SPC-013-5,13,5,65,2026-09-07T11:04:00,reference,20.054328280140346,20.06148767267905,VERIFIED_ZERO,False
SPC-014-1,14,1,66,2026-09-07T11:15:00,reference,19.986684000324264,19.990892083185578,VERIFIED_ZERO,False
SPC-014-2,14,2,67,2026-09-07T11:16:00,reference,19.911883738472245,19.905766572176624,VERIFIED_ZERO,False
SPC-014-3,14,3,68,2026-09-07T11:17:00,reference,19.964445879505625,19.966337685534686,VERIFIED_ZERO,False
SPC-014-4,14,4,69,2026-09-07T11:18:00,reference,19.948648408477446,19.957097877762852,VERIFIED_ZERO,False
SPC-014-5,14,5,70,2026-09-07T11:19:00,reference,20.09519247003365,20.091228081718118,VERIFIED_ZERO,False
SPC-015-1,15,1,71,2026-09-07T11:30:00,reference,19.94526489562605,19.943450641160876,VERIFIED_ZERO,False
SPC-015-2,15,2,72,2026-09-07T11:31:00,reference,19.998583889527826,20.008158219222768,VERIFIED_ZERO,False
SPC-015-3,15,3,73,2026-09-07T11:32:00,reference,20.050901338564017,20.046759453109896,VERIFIED_ZERO,False
SPC-015-4,15,4,74,2026-09-07T11:33:00,reference,20.055989745583464,20.0620101742056,VERIFIED_ZERO,False
SPC-015-5,15,5,75,2026-09-07T11:34:00,reference,19.935397408652886,19.949075452620622,VERIFIED_ZERO,False
SPC-016-1,16,1,76,2026-09-07T11:45:00,reference,19.979812018434426,19.98225007957666,VERIFIED_ZERO,False
SPC-016-2,16,2,77,2026-09-07T11:46:00,reference,20.018743727638554,20.02286138153817,VERIFIED_ZERO,False
SPC-016-3,16,3,78,2026-09-07T11:47:00,reference,19.934072133076914,19.931760336517748,VERIFIED_ZERO,False
SPC-016-4,16,4,79,2026-09-07T11:48:00,reference,20.070728704933288,20.071560427469276,VERIFIED_ZERO,False
SPC-016-5,16,5,80,2026-09-07T11:49:00,reference,20.0436339147182,20.048230284919534,VERIFIED_ZERO,False
SPC-017-1,17,1,81,2026-09-07T12:00:00,reference,19.979139686693266,19.96503759052801,VERIFIED_ZERO,False
SPC-017-2,17,2,82,2026-09-07T12:01:00,reference,19.991502696251843,20.00227561566051,VERIFIED_ZERO,False
SPC-017-3,17,3,83,2026-09-07T12:02:00,reference,19.94303159730315,19.948972133219023,VERIFIED_ZERO,False
SPC-017-4,17,4,84,2026-09-07T12:03:00,reference,20.05015407226175,20.038523608262572,VERIFIED_ZERO,False
SPC-017-5,17,5,85,2026-09-07T12:04:00,reference,20.000102740864584,20.004566428839794,VERIFIED_ZERO,False
SPC-018-1,18,1,86,2026-09-07T12:15:00,reference,19.996573778914556,19.996100414894503,VERIFIED_ZERO,False
SPC-018-2,18,2,87,2026-09-07T12:16:00,reference,20.028226638634063,20.023201217950835,VERIFIED_ZERO,False
SPC-018-3,18,3,88,2026-09-07T12:17:00,reference,20.020096007409226,20.0225821150048,VERIFIED_ZERO,False
SPC-018-4,18,4,89,2026-09-07T12:18:00,reference,19.92064499446125,19.917662072507643,VERIFIED_ZERO,False
SPC-018-5,18,5,90,2026-09-07T12:19:00,reference,20.10540170748838,20.104806746205817,VERIFIED_ZERO,False
SPC-019-1,19,1,91,2026-09-07T12:30:00,reference,19.997248056637122,19.99870843216067,VERIFIED_ZERO,False
SPC-019-2,19,2,92,2026-09-07T12:31:00,reference,20.030598123588643,20.029181427317162,VERIFIED_ZERO,False
SPC-019-3,19,3,93,2026-09-07T12:32:00,reference,19.94021447143795,19.935842857350522,VERIFIED_ZERO,False
SPC-019-4,19,4,94,2026-09-07T12:33:00,reference,19.96662038984168,19.95842809960857,VERIFIED_ZERO,False
SPC-019-5,19,5,95,2026-09-07T12:34:00,reference,19.987372067662733,19.97747714256997,VERIFIED_ZERO,False
SPC-020-1,20,1,96,2026-09-07T12:45:00,reference,20.05426768257563,20.056019959640345,VERIFIED_ZERO,False
SPC-020-2,20,2,97,2026-09-07T12:46:00,reference,20.027943080736783,20.025678366037987,VERIFIED_ZERO,False
SPC-020-3,20,3,98,2026-09-07T12:47:00,reference,19.988896091586984,19.988633257232205,VERIFIED_ZERO,False
SPC-020-4,20,4,99,2026-09-07T12:48:00,reference,19.98899044663621,19.99519231270267,VERIFIED_ZERO,False
SPC-020-5,20,5,100,2026-09-07T12:49:00,reference,20.034073474976086,20.04846325971093,VERIFIED_ZERO,False
SPC-021-1,21,1,101,2026-09-07T13:00:00,reference,20.02912935961295,20.02887661280321,VERIFIED_ZERO,False
SPC-021-2,21,2,102,2026-09-07T13:01:00,reference,19.95574748416564,19.953059199323437,VERIFIED_ZERO,False
SPC-021-3,21,3,103,2026-09-07T13:02:00,reference,19.985110879733778,19.97934188389665,VERIFIED_ZERO,False
SPC-021-4,21,4,104,2026-09-07T13:03:00,reference,20.015513857039515,20.007505979275752,VERIFIED_ZERO,False
SPC-021-5,21,5,105,2026-09-07T13:04:00,reference,20.03049599215285,20.029176604704972,VERIFIED_ZERO,False
SPC-022-1,22,1,106,2026-09-07T13:15:00,reference,20.024981758000468,20.032634765946018,VERIFIED_ZERO,False
SPC-022-2,22,2,107,2026-09-07T13:16:00,reference,19.926547328221037,19.928975947654028,VERIFIED_ZERO,False
SPC-022-3,22,3,108,2026-09-07T13:17:00,reference,20.037682349338674,20.037638833005396,VERIFIED_ZERO,False
SPC-022-4,22,4,109,2026-09-07T13:18:00,reference,19.899738443099096,19.90247033076562,VERIFIED_ZERO,False
SPC-022-5,22,5,110,2026-09-07T13:19:00,reference,19.946291056695053,19.943320660179783,VERIFIED_ZERO,False
SPC-023-1,23,1,111,2026-09-07T13:30:00,reference,20.005437609716108,20.002746902205537,VERIFIED_ZERO,False
SPC-023-2,23,2,112,2026-09-07T13:31:00,reference,20.005039756766205,20.008808464071652,VERIFIED_ZERO,False
SPC-023-3,23,3,113,2026-09-07T13:32:00,reference,19.930821027446935,19.931045015256938,VERIFIED_ZERO,False
SPC-023-4,23,4,114,2026-09-07T13:33:00,reference,19.935297736914713,19.936919985144478,VERIFIED_ZERO,False
SPC-023-5,23,5,115,2026-09-07T13:34:00,reference,20.034685092065182,20.0229623533748,VERIFIED_ZERO,False
SPC-024-1,24,1,116,2026-09-07T13:45:00,reference,20.09019860207307,20.084941636191445,VERIFIED_ZERO,False
SPC-024-2,24,2,117,2026-09-07T13:46:00,reference,19.97430399882387,19.978026420317086,VERIFIED_ZERO,False
SPC-024-3,24,3,118,2026-09-07T13:47:00,reference,20.06440596684561,20.064418985427874,VERIFIED_ZERO,False
SPC-024-4,24,4,119,2026-09-07T13:48:00,reference,19.954969904340704,19.956710575521672,VERIFIED_ZERO,False
SPC-024-5,24,5,120,2026-09-07T13:49:00,reference,20.007082853133973,20.018540789815187,VERIFIED_ZERO,False
SPC-025-1,25,1,121,2026-09-07T14:00:00,reference,20.0268739688177,20.028409664746103,VERIFIED_ZERO,False
SPC-025-2,25,2,122,2026-09-07T14:01:00,reference,19.985762696411566,19.979251626637776,VERIFIED_ZERO,False
SPC-025-3,25,3,123,2026-09-07T14:02:00,reference,19.97441225766209,19.972720450979914,VERIFIED_ZERO,False
SPC-025-4,25,4,124,2026-09-07T14:03:00,reference,20.030182810062794,20.031377247867454,VERIFIED_ZERO,False
SPC-025-5,25,5,125,2026-09-07T14:04:00,reference,20.023595611031574,20.023243049745865,VERIFIED_ZERO,False
SPC-026-1,26,1,126,2026-09-07T14:15:00,reference,19.985212209646875,19.978722926104762,VERIFIED_ZERO,False
SPC-026-2,26,2,127,2026-09-07T14:16:00,reference,20.035298963201573,20.035771686268102,VERIFIED_ZERO,False
SPC-026-3,26,3,128,2026-09-07T14:17:00,reference,19.98434420759844,19.97461173630564,VERIFIED_ZERO,False
SPC-026-4,26,4,129,2026-09-07T14:18:00,reference,19.967608474307863,19.96361152500607,VERIFIED_ZERO,False
SPC-026-5,26,5,130,2026-09-07T14:19:00,reference,19.991117045783056,19.984934692132157,VERIFIED_ZERO,False
SPC-027-1,27,1,131,2026-09-07T14:30:00,reference,19.96445405983359,19.95644913563949,VERIFIED_ZERO,False
SPC-027-2,27,2,132,2026-09-07T14:31:00,reference,19.98376744513361,19.979536100655174,VERIFIED_ZERO,False
SPC-027-3,27,3,133,2026-09-07T14:32:00,reference,19.95192627097058,19.956503921018825,VERIFIED_ZERO,False
SPC-027-4,27,4,134,2026-09-07T14:33:00,reference,20.06379419855127,20.05965386654571,VERIFIED_ZERO,False
SPC-027-5,27,5,135,2026-09-07T14:34:00,reference,20.045661823712344,20.03909025826661,VERIFIED_ZERO,False
SPC-028-1,28,1,136,2026-09-07T14:45:00,reference,20.018846704791144,20.014341063643393,VERIFIED_ZERO,False
SPC-028-2,28,2,137,2026-09-07T14:46:00,reference,20.065823940807036,20.058521227800156,VERIFIED_ZERO,False
SPC-028-3,28,3,138,2026-09-07T14:47:00,reference,19.969047067906892,19.96467269203593,VERIFIED_ZERO,False
SPC-028-4,28,4,139,2026-09-07T14:48:00,reference,20.114709967509107,20.120019723857,VERIFIED_ZERO,False
SPC-028-5,28,5,140,2026-09-07T14:49:00,reference,20.015846787529767,20.020415844579393,VERIFIED_ZERO,False
SPC-029-1,29,1,141,2026-09-07T15:00:00,reference,20.025956876604337,20.02152918520817,VERIFIED_ZERO,False
SPC-029-2,29,2,142,2026-09-07T15:01:00,reference,20.01649221628524,20.00763190865611,VERIFIED_ZERO,False
SPC-029-3,29,3,143,2026-09-07T15:02:00,reference,20.072443952841937,20.08094711420607,VERIFIED_ZERO,False
SPC-029-4,29,4,144,2026-09-07T15:03:00,reference,20.002444349967845,19.989297712777244,VERIFIED_ZERO,False
SPC-029-5,29,5,145,2026-09-07T15:04:00,reference,19.993747412209338,19.988411688771464,VERIFIED_ZERO,False
SPC-030-1,30,1,146,2026-09-07T15:15:00,reference,20.041919798240823,20.040356828181906,VERIFIED_ZERO,False
SPC-030-2,30,2,147,2026-09-07T15:16:00,reference,19.9639504306442,19.955494019761968,VERIFIED_ZERO,False
SPC-030-3,30,3,148,2026-09-07T15:17:00,reference,19.987807295593985,19.986974201583443,VERIFIED_ZERO,False
SPC-030-4,30,4,149,2026-09-07T15:18:00,reference,19.97434227651207,19.975462865556835,VERIFIED_ZERO,False
SPC-030-5,30,5,150,2026-09-07T15:19:00,reference,19.97018355782152,19.96743608102875,VERIFIED_ZERO,False
SPC-031-1,31,1,151,2026-09-07T15:30:00,reference,20.026209867384228,20.025323094381918,VERIFIED_ZERO,False
SPC-031-2,31,2,152,2026-09-07T15:31:00,reference,19.957607501077163,19.966008046633515,VERIFIED_ZERO,False
