seed,residual_offset_mm,failures,diameter_failures,pass_rate,avoided_failures
0,0.0,967,0,0.95165,66
0,0.05,967,0,0.95165,66
0,0.1,967,0,0.95165,66
0,0.15,967,0,0.95165,66
0,0.22,1033,67,0.94835,0
1,0.0,992,0,0.9504,67
1,0.05,992,0,0.9504,67
1,0.1,992,0,0.9504,67
1,0.15,992,0,0.9504,67
1,0.22,1059,69,0.94705,0
2,0.0,1003,0,0.94985,63
2,0.05,1003,0,0.94985,63
2,0.1,1003,0,0.94985,63
2,0.15,1004,1,0.9498,62
2,0.22,1066,67,0.9467,0
3,0.0,979,0,0.95105,45
3,0.05,979,0,0.95105,45
3,0.1,979,0,0.95105,45
3,0.15,979,0,0.95105,45
3,0.22,1024,49,0.9488,0
4,0.0,1021,0,0.94895,59
4,0.05,1021,0,0.94895,59
4,0.1,1021,0,0.94895,59
4,0.15,1021,0,0.94895,59
4,0.22,1080,62,0.946,0
5,0.0,1013,0,0.94935,75
5,0.05,1013,0,0.94935,75
5,0.1,1013,0,0.94935,75
5,0.15,1013,0,0.94935,75
5,0.22,1088,77,0.9456,0
6,0.0,1026,0,0.9487,73
6,0.05,1026,0,0.9487,73
6,0.1,1026,0,0.9487,73
6,0.15,1026,0,0.9487,73
6,0.22,1099,75,0.94505,0
7,0.0,973,0,0.95135,65
7,0.05,973,0,0.95135,65
7,0.1,973,0,0.95135,65
7,0.15,973,0,0.95135,65
7,0.22,1038,72,0.9481,0
8,0.0,1037,0,0.94815,68
8,0.05,1037,0,0.94815,68
8,0.1,1037,0,0.94815,68
8,0.15,1037,0,0.94815,68
8,0.22,1105,69,0.94475,0
9,0.0,1046,0,0.9477,64
9,0.05,1046,0,0.9477,64
9,0.1,1046,0,0.9477,64
9,0.15,1046,0,0.9477,64
9,0.22,1110,65,0.9445,0
10,0.0,978,0,0.9511,72
10,0.05,978,0,0.9511,72
10,0.1,978,0,0.9511,72
10,0.15,978,0,0.9511,72
10,0.22,1050,77,0.9475,0
11,0.0,995,0,0.95025,68
11,0.05,995,0,0.95025,68
11,0.1,995,0,0.95025,68
11,0.15,995,0,0.95025,68
11,0.22,1063,75,0.94685,0
12,0.0,1009,0,0.94955,69
12,0.05,1009,0,0.94955,69
12,0.1,1009,0,0.94955,69
12,0.15,1009,0,0.94955,69
12,0.22,1078,75,0.9461,0
13,0.0,1011,0,0.94945,58
13,0.05,1011,0,0.94945,58
13,0.1,1011,0,0.94945,58
13,0.15,1011,0,0.94945,58
13,0.22,1069,64,0.94655,0
14,0.0,1008,0,0.9496,59
14,0.05,1008,0,0.9496,59
14,0.1,1008,0,0.9496,59
14,0.15,1008,1,0.9496,59
14,0.22,1067,68,0.94665,0
15,0.0,1031,0,0.94845,66
15,0.05,1031,0,0.94845,66
15,0.1,1031,0,0.94845,66
15,0.15,1032,1,0.9484,65
15,0.22,1097,68,0.94515,0
16,0.0,989,0,0.95055,79
16,0.05,989,0,0.95055,79
16,0.1,989,0,0.95055,79
16,0.15,989,0,0.95055,79
16,0.22,1068,85,0.9466,0
17,0.0,1037,0,0.94815,62
17,0.05,1037,0,0.94815,62
17,0.1,1037,0,0.94815,62
17,0.15,1037,0,0.94815,62
17,0.22,1099,68,0.94505,0
18,0.0,1027,0,0.94865,63
18,0.05,1027,0,0.94865,63
18,0.1,1027,0,0.94865,63
18,0.15,1027,0,0.94865,63
18,0.22,1090,67,0.9455,0
19,0.0,982,0,0.9509,75
19,0.05,982,0,0.9509,75
19,0.1,982,0,0.9509,75
19,0.15,982,0,0.9509,75
19,0.22,1057,75,0.94715,0
20,0.0,1059,0,0.94705,55
20,0.05,1059,0,0.94705,55
20,0.1,1059,0,0.94705,55
20,0.15,1059,0,0.94705,55
20,0.22,1114,58,0.9443,0
21,0.0,1057,0,0.94715,80
21,0.05,1057,0,0.94715,80
21,0.1,1057,0,0.94715,80
21,0.15,1057,0,0.94715,80
21,0.22,1137,87,0.94315,0
22,0.0,1042,0,0.9479,55
22,0.05,1042,0,0.9479,55
22,0.1,1042,0,0.9479,55
22,0.15,1042,0,0.9479,55
22,0.22,1097,59,0.94515,0
23,0.0,1036,0,0.9482,51
23,0.05,1036,0,0.9482,51
23,0.1,1036,0,0.9482,51
23,0.15,1036,0,0.9482,51
23,0.22,1087,56,0.94565,0
24,0.0,982,0,0.9509,76
24,0.05,982,0,0.9509,76
24,0.1,982,0,0.9509,76
24,0.15,982,0,0.9509,76
24,0.22,1058,81,0.9471,0
25,0.0,979,0,0.95105,67
25,0.05,979,0,0.95105,67
25,0.1,979,0,0.95105,67
25,0.15,979,0,0.95105,67
25,0.22,1046,72,0.9477,0
26,0.0,1036,0,0.9482,53
26,0.05,1036,0,0.9482,53
26,0.1,1036,0,0.9482,53
26,0.15,1036,0,0.9482,53
26,0.22,1089,57,0.94555,0
27,0.0,971,0,0.95145,59
27,0.05,971,0,0.95145,59
27,0.1,971,0,0.95145,59
27,0.15,973,2,0.95135,57
27,0.22,1030,61,0.9485,0
28,0.0,1007,0,0.94965,54
28,0.05,1007,0,0.94965,54
28,0.1,1007,0,0.94965,54
28,0.15,1008,1,0.9496,53
28,0.22,1061,57,0.94695,0
29,0.0,1030,0,0.9485,50
29,0.05,1030,0,0.9485,50
29,0.1,1030,0,0.9485,50
29,0.15,1030,0,0.9485,50
29,0.22,1080,56,0.946,0
